date*boxscore*team*home_or_away*opponent*win_or_loss*runs*runs_allowed*innings*win_loss_record*rank*games_behind*win*loss*save*time*day_or_night*attendance*streak*originally_scheduled
Thursday, Aug 30*boxscore*PHI*None*LAD*L*2*3*None*59-69*5* 15.5*Martinez*Boever*Walsh*3:13*N*24,160*---*None
Friday, Aug 31*boxscore*PHI*None*SDP*W*4*2*None*60-69*5* 14.5*McDowell*Hammaker*None*3:04*N*23,286*+*None
Saturday, Sep 1*boxscore*PHI*None*SDP*W-wo*3*2*10*61-69*4* 13.5*Boever*Harris*None*3:16*D*None*++*None
Saturday, Sep 1*boxscore*PHI*None*SDP*W*2*1*None*62-69*4* 13.5*Akerfelds*Rodriguez*McDowell*2:58*N*25,008*+++*1990-05-29 (Rain)
Sunday, Sep 2*boxscore*PHI*None*SDP*L*1*9*None*62-70*4* 14.5*Whitson*de Jesus*None*2:40*D*33,498*-*None
Monday, Sep 3*boxscore*PHI*@*PIT*L*1*4*None*62-71*4* 15.5*Drabek*Ruffin*None*2:26*D*23,854*--*None
Tuesday, Sep 4*boxscore*PHI*@*PIT*L*7*11*None*62-72*5* 16.0*Landrum*Akerfelds*Patterson*3:01*N*16,858*---*None
Wednesday, Sep 5*boxscore*PHI*None*CHC*W*4*1*None*63-72*4* 16.5*Mulholland*Wilson*McDowell*2:18*N*16,177*+*None
Thursday, Sep 6*boxscore*PHI*None*CHC*L*2*5*None*63-73*5* 17.5*Nunez*Grimsley*Williams*2:37*N*13,849*-*None
Friday, Sep 7*boxscore*PHI*None*NYM*W*4*1*None*64-73*4* 16.5*de Jesus*Cone*None*2:49*N*29,744*+*None
Saturday, Sep 8*boxscore*PHI*None*NYM*L*2*12*None*64-74*5* 17.5*Gooden*Ruffin*None*3:14*N*37,489*-*None
Sunday, Sep 9*boxscore*PHI*None*NYM*W*6*2*None*65-74*4* 16.5*Combs*Fernandez*Boever*2:58*D*36,502*+*None
Monday, Sep 10*boxscore*PHI*None*PIT*L*2*3*None*65-75*4* 17.5*Belinda*Boever*None*2:54*N*18,970*-*None
Tuesday, Sep 11*boxscore*PHI*None*PIT*L*1*5*None*65-76*5* 18.5*Tomlin*Grimsley*None*2:57*N*20,289*--*None
Wednesday, Sep 12*boxscore*PHI*@*CHC*L*3*9*None*65-77*5* 18.5*Maddux*de Jesus*None*2:32*D*16,258*---*None
Thursday, Sep 13*boxscore*PHI*@*CHC*L*5*6*None*65-78*5* 18.5*Assenmacher*McDowell*Lancaster*2:52*D*15,495*----*None
Friday, Sep 14*boxscore*PHI*@*NYM*W*4*1*None*66-78*5* 17.5*Combs*Fernandez*None*2:58*N*36,339*+*None
Saturday, Sep 15*boxscore*PHI*@*NYM*L*2*4*None*66-79*5* 17.5*Viola*Mulholland*Franco*2:32*D*45,202*-*None
Sunday, Sep 16*boxscore*PHI*@*NYM*W*8*3*None*67-79*5* 16.5*de Jesus*Cone*None*2:55*D*44,813*+*None
Tuesday, Sep 18*boxscore*PHI*@*STL*W*6*3*None*68-79*5* 15.5*Grimsley*Tewksbury*Boever*2:48*N*15,588*++*None
Wednesday, Sep 19*boxscore*PHI*@*STL*W*8*4*None*69-79*5* 15.5*Combs*Magrane*None*2:57*N*15,828*+++*None
Thursday, Sep 20*boxscore*PHI*@*STL*L-wo*4*5*None*69-80*5* 16.5*Perez*McDowell*None*2:45*N*14,744*-*None
Friday, Sep 21*boxscore*PHI*None*MON*W-wo*5*4*12*70-80*5* 16.5*Malone*Sampen*None*4:17*N*23,274*+*None
Saturday, Sep 22*boxscore*PHI*None*MON*W*3*2*None*71-80*5* 15.5*Greene*Anderson*McDowell*3:06*N*17,215*++*None
Sunday, Sep 23*boxscore*PHI*None*MON*W-wo*2*1*16*72-80*4* 15.5*Carman*Farmer*None*5:08*D*25,715*+++*None
Monday, Sep 24*boxscore*PHI*None*MON*W*3*0*None*73-80*4* 15.0*Combs*Barnes*None*2:09*N*11,527*++++*1990-04-08 (Strike)
Tuesday, Sep 25*boxscore*PHI*None*STL*L*0*1*None*73-81*4* 16.0*Magrane*Mulholland*Dayley*2:02*N*13,615*-*None
Wednesday, Sep 26*boxscore*PHI*None*STL*L*1*8*None*73-82*4* 17.0*Smith*de Jesus*None*2:41*N*12,443*--*None
Thursday, Sep 27*boxscore*PHI*None*STL*W*4*3*None*74-82*4* 17.0*Greene*DeLeon*Boever*2:20*N*9,119*+*None
Friday, Sep 28*boxscore*PHI*@*MON*W*5*4*None*75-82*4* 17.0*Grimsley*Boyd*McDowell*3:00*N*8,230*++*None
Saturday, Sep 29*boxscore*PHI*@*MON*L*1*5*None*75-83*4* 18.0*Barnes*Combs*None*2:12*N*8,985*-*None
Sunday, Sep 30*boxscore*PHI*@*MON*W*2*1*None*76-83*4* 18.0*Mulholland*Nabholz*None*2:04*D*17,464*+*None
Monday, Oct 1*boxscore*PHI*None*CHC*W*7*6*None*77-83*4* 17.0*de Jesus*Coffman*McDowell*2:32*N*9,041*++*1990-04-03 (Strike)
Tuesday, Oct 2*boxscore*PHI*None*CHC*L*1*3*None*77-84*4* 18.0*Bielecki*Greene*Williams*2:22*N*9,940*-*1990-04-04 (Strike)
Wednesday, Oct 3*boxscore*PHI*None*CHC*L*3*4*None*77-85*4* 18.0*Maddux*McElroy*Assenmacher*2:13*N*11,889*--*1990-04-05 (Strike)
