Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
134,Saturday Sep 3,boxscore,CLE,,MIA,W,8,3,,78-56,1,up 5.5,Bauer,Fernandez,,2:38,N,27483,+++++,
135,Sunday Sep 4,boxscore,CLE,,MIA,W-wo,6,5,,79-56,1,up 5.5,Allen,Rodney,,3:43,D,25910,++++++,
136,Monday Sep 5,boxscore,CLE,,HOU,L,2,6,,79-57,1,up 4.5,Fiers,Clevinger,,3:44,N,13062,-,
137,Tuesday Sep 6,boxscore,CLE,,HOU,L,3,4,,79-58,1,up 4.5,Hoyt,Kluber,Giles,3:03,N,11023,--,
138,Wednesday Sep 7,boxscore,CLE,,HOU,W,6,5,,80-58,1,up 5.5,Carrasco,Fister,Allen,3:06,N,12063,+,
139,Thursday Sep 8,boxscore,CLE,,HOU,W,10,7,,81-58,1,up 6.0,Bauer,Paulino,Allen,3:14,D,15275,++,
140,Friday Sep 9,boxscore,CLE,@,MIN,W,5,4,,82-58,1,up 6.0,Colon,Duffey,Allen,3:07,N,20173,+++,
141,Saturday Sep 10,boxscore,CLE,@,MIN,L-wo,1,2,12,82-59,1,up 6.0,Chargois,Colon,,3:38,N,23584,-,
142,Sunday Sep 11,boxscore,CLE,@,MIN,W,7,1,,83-59,1,up 7.0,Kluber,Berrios,,3:13,D,20301,+,
143,Monday Sep 12,boxscore,CLE,@,CHW,L,4,11,,83-60,1,up 6.0,Gonzalez,Carrasco,,3:30,N,12588,-,
144,Tuesday Sep 13,boxscore,CLE,@,CHW,L,1,8,,83-61,1,up 6.0,Quintana,Bauer,,2:37,N,15588,--,
145,Wednesday Sep 14,boxscore,CLE,@,CHW,W,6,1,,84-61,1,up 6.0,Tomlin,Rodon,,2:48,N,15808,+,
146,Thursday Sep 15,boxscore,CLE,@,CHW,L-wo,1,2,,84-62,1,up 6.0,Robertson,Shaw,,3:12,D,14190,-,
147,Friday Sep 16,boxscore,CLE,,DET,W,11,4,,85-62,1,up 7.0,Kluber,Fulmer,,3:31,N,29137,+,
148,Saturday Sep 17,boxscore,CLE,,DET,W-wo,1,0,10,86-62,1,up 8.0,Miller,Wilson,,3:53,D,26654,++,
149,Sunday Sep 18,boxscore,CLE,,DET,L,5,9,,86-63,1,up 7.0,Norris,Bauer,Rodriguez,3:38,D,21382,-,
150,Tuesday Sep 20,boxscore,CLE,,KCR,W-wo,2,1,,87-63,1,up 7.0,Miller,Flynn,,2:45,N,13623,+,
151,Wednesday Sep 21,boxscore,CLE,,KCR,W,4,3,,88-63,1,up 7.5,Kluber,Kennedy,Allen,3:20,N,13888,++,
152,Thursday Sep 22,boxscore,CLE,,KCR,W,5,2,,89-63,1,up 7.0,Otero,Gee,Allen,2:40,N,15253,+++,
153,Friday Sep 23,boxscore,CLE,,CHW,W,10,4,,90-63,1,up 7.0,Bauer,Gonzalez,,3:02,N,18937,++++,
154,Saturday Sep 24,boxscore,CLE,,CHW,L,1,8,,90-64,1,up 7.0,Quintana,Anderson,,3:28,N,32088,-,
155,Sunday Sep 25,boxscore,CLE,,CHW,L,0,3,,90-65,1,up 7.0,Rodon,Tomlin,Robertson,2:46,D,24118,--,
156,Monday Sep 26,boxscore,CLE,@,DET,W,7,4,,91-65,1,up 8.0,Miller,Farmer,Allen,3:25,N,24981,+,
157,Tuesday Sep 27,boxscore,CLE,@,DET,L,0,12,,91-66,1,up 7.0,Verlander,Clevinger,,3:01,N,25696,-,
158,Wednesday Sep 28,boxscore,CLE,@,DET,L,3,6,5,91-67,1,up 6.0,Hardy,Colon,,2:02,N,26934,--,
159,Friday Sep 30,boxscore,CLE,@,KCR,W,7,2,,92-67,1,up 6.0,Merritt,Ventura,,2:36,N,24741,+,
160,Saturday Oct 1,boxscore,CLE,@,KCR,W,6,3,,93-67,1,up 7.0,Clevinger,Strahm,Allen,3:22,D,28569,++,
161,Sunday Oct 2,boxscore,CLE,@,KCR,W,3,2,,94-67,1,up 8.0,Tomlin,Kennedy,Allen,2:26,D,29475,+++,
