"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Tuesday, Aug 11","None","NYY","None","WSH","W",16,2,"None","47-41",3,"None","None","None","None","None",NA,"++++++","None",1903,-10,14,365,366,-1,48,41,7,0.539325842696629,NA
"Thursday, Aug 13","None","NYY","@","CLE","L",2,5,"None","47-42",4,"None","None","None","None","None",NA,"-","None",1903,-11,-3,367,371,-4,48,42,6,0.533333333333333,NA
"Thursday, Aug 13","None","NYY","@","CLE","L",2,8,"None","47-43",4,"None","None","None","None","None",NA,"--","1903-06-23 (Rain)",1903,-11,-6,369,379,-10,48,43,5,0.527472527472527,NA
"Friday, Aug 14","None","NYY","@","CLE","L",0,3,"None","47-44",4,"None","None","None","None","None",NA,"---","None",1903,-12,-3,369,382,-13,48,44,4,0.521739130434783,NA
"Saturday, Aug 15","None","NYY","@","CLE","L",5,6,"None","47-45",4,"None","None","None","None","None",NA,"----","None",1903,-13,-1,374,388,-14,48,45,3,0.516129032258065,NA
"Sunday, Aug 16","None","NYY","@","DET","L",8,12,"None","47-46",4,"None","None","None","None","None",NA,"-----","None",1903,-13.5,-4,382,400,-18,48,46,2,0.51063829787234,NA
"Monday, Aug 17","None","NYY","@","DET","L",3,6,"None","47-47",5,"None","None","None","None","None",NA,"------","None",1903,-13.5,-3,385,406,-21,48,47,1,0.505263157894737,NA
"Tuesday, Aug 18","None","NYY","@","DET","W",1,0,"None","48-47",4,"None","None","None","None","None",NA,"+","None",1903,-13,1,386,406,-20,49,47,2,0.510416666666667,NA
"Tuesday, Aug 18","None","NYY","@","DET","W",8,1,"None","49-47",4,"None","None","None","None","None",NA,"++","1903-06-20 (Rain)",1903,-13,7,394,407,-13,50,47,3,0.515463917525773,NA
"Thursday, Aug 20","None","NYY","@","SLB","W",6,1,"None","50-47",4,"None","None","None","None","None",NA,"+++","None",1903,-13,5,400,408,-8,51,47,4,0.520408163265306,NA
"Thursday, Aug 20","None","NYY","@","SLB","L",2,4,"None","50-48",4,"None","None","None","None","None",NA,"-","1903-08-19 (Train wreck (NYA))",1903,-13,-2,402,412,-10,51,48,3,0.515151515151515,NA
"Friday, Aug 21","None","NYY","@","SLB","L",3,8,"None","50-49",5,"None","None","None","None","None",NA,"--","None",1903,-14,-5,405,420,-15,51,49,2,0.51,NA
"Saturday, Aug 22","None","NYY","@","CHW","W",9,6,"None","51-49",5,"None","None","None","None","None",NA,"+","None",1903,-13,3,414,426,-12,52,49,3,0.514851485148515,NA
"Sunday, Aug 23","None","NYY","@","CHW","W",6,5,"None","52-49",5,"None","None","None","None","None",NA,"++","None",1903,-14,1,420,431,-11,53,49,4,0.519607843137255,NA
"Sunday, Aug 23","None","NYY","@","CHW","L",1,3,"None","52-50",5,"None","None","None","None","None",NA,"-","None",1903,-14,-2,421,434,-13,53,50,3,0.514563106796116,NA
