"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","games_behind","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year"
"Friday, Aug 17","boxscore","HOU","None","CHC","W-wo","3","2","None","44-75","8"," 35.0","Kemmerer","Anderson","None","2:35","D","6,539","+","None",1962
"Saturday, Aug 18","boxscore","HOU","None","CHC","W","2","1","None","45-75","8"," 34.5","Brunet","Koonce","None","2:23","D","None","++","None",1962
"Saturday, Aug 18","boxscore","HOU","None","CHC","L","5","6","None","45-76","8"," 34.5","Elston","McMahon","Cardwell","2:58","D","12,243","-","1962-07-16 (Rain)",1962
"Sunday, Aug 19","boxscore","HOU","None","CHC","L","3","4","None","45-77","9"," 35.5","Buhl","Woodeshick","Anderson","2:30","D","4,543","--","None",1962
"Monday, Aug 20","boxscore","HOU","@","PHI","L","1","7","None","45-78","9"," 35.5","Green","Farrell","None","2:45","N","14,601","---","None",1962
"Tuesday, Aug 21","boxscore","HOU","@","PHI","L","3","5","None","45-79","9"," 36.5","Mahaffey","Bruce","None","2:32","N","None","----","None",1962
"Tuesday, Aug 21","boxscore","HOU","@","PHI","L","4","7","None","45-80","9"," 36.5","Hamilton","Golden","None","2:15","N","5,489","-----","1962-08-20 (Rain)",1962
"Wednesday, Aug 22","boxscore","HOU","@","PIT","L","0","3","None","45-81","9"," 36.5","Sturdivant","Brunet","None","2:00","N","10,553","------","None",1962
"Thursday, Aug 23","boxscore","HOU","@","PIT","L","0","4","None","45-82","9"," 37.5","Law","Johnson","None","1:52","N","10,742","-------","None",1962
"Friday, Aug 24","boxscore","HOU","@","CIN","L","2","4","None","45-83","9"," 37.5","Purkey","Woodeshick","None","2:15","N","18,879","--------","None",1962
"Saturday, Aug 25","boxscore","HOU","@","CIN","L","6","7","None","45-84","9"," 38.5","Jay","Farrell","Brosnan","2:31","D","12,680","---------","None",1962
"Sunday, Aug 26","boxscore","HOU","@","CIN","W","2","1","None","46-84","9"," 38.0","Brunet","Maloney","None","2:23","D","None","+","None",1962
"Sunday, Aug 26","boxscore","HOU","@","CIN","W","6","4","None","47-84","9"," 38.0","McMahon","Wills","Umbricht","2:28","D","25,808","++","None",1962
"Tuesday, Aug 28","boxscore","HOU","@","STL","W","4","2","None","48-84","9"," 38.0","Bruce","Broglio","McMahon","2:41","N","9,510","+++","None",1962
"Wednesday, Aug 29","boxscore","HOU","@","STL","W","3","2","None","49-84","8"," 38.0","Farrell","Gibson","None","2:28","N","8,295","++++","None",1962
"Saturday, Sep 1","boxscore","HOU","@","CHC","L","3","4","None","49-85","9"," 39.0","Ellsworth","McMahon","Schultz","2:24","D","9,887","-","None",1962
"Sunday, Sep 2","boxscore","HOU","@","CHC","W","3","1","None","50-85","8"," 39.0","McMahon","Buhl","None","2:15","D","13,088","+","None",1962
"Monday, Sep 3","boxscore","HOU","None","PHI","L","2","3","None","50-86","9"," 39.5","Mahaffey","Farrell","None","2:17","N","None","-","None",1962
"Monday, Sep 3","boxscore","HOU","None","PHI","L","3","5","None","50-87","9"," 39.5","Hamilton","Woodeshick","Bennett","2:27","N","17,302","--","None",1962
"Tuesday, Sep 4","boxscore","HOU","None","PHI","W","4","1","None","51-87","9"," 39.5","Bruce","McLish","None","2:27","N","4,537","+","None",1962
"Wednesday, Sep 5","boxscore","HOU","None","PIT","W","5","3","None","52-87","8"," 38.5","Umbricht","Law","McMahon","2:41","N","4,593","++","None",1962
"Thursday, Sep 6","boxscore","HOU","None","PIT","W-wo","4","3","None","53-87","8"," 37.5","Kemmerer","Face","None","2:25","N","5,196","+++","None",1962
"Friday, Sep 7","boxscore","HOU","None","NYM","W","4","2","None","54-87","8"," 36.5","Golden","Jackson","McMahon","2:28","N","6,208","++++","None",1962
"Saturday, Sep 8","boxscore","HOU","None","NYM","W-wo","4","3","None","55-87","8"," 36.0","Kemmerer","Anderson","None","2:50","D","1,638","+++++","None",1962
"Saturday, Sep 8","boxscore","HOU","None","NYM","W-wo","6","5","10","56-87","8"," 36.0","Umbricht","Craig","None","3:20","N","6,568","++++++","1962-06-13 (Rain)",1962
"Sunday, Sep 9","boxscore","HOU","None","NYM","T","7","7","8","56-87","8"," 36.5","None","None","None","3:07","D","3,630","++++++","None",1962
"Wednesday, Sep 12","boxscore","HOU","None","LAD","L","0","1","None","56-88","8"," 38.5","Roebuck","Johnson","Perranoski","2:25","N","28,669","-","None",1962
"Friday, Sep 14","boxscore","HOU","@","MLN","L","1","3","None","56-89","8"," 39.5","Hendley","Farrell","None","2:08","N","5,505","--","None",1962
"Saturday, Sep 15","boxscore","HOU","@","MLN","L-wo","8","9","None","56-90","8"," 40.5","Nottebart","Kemmerer","None","3:01","N","6,872","---","None",1962
"Sunday, Sep 16","boxscore","HOU","@","MLN","L-wo","4","5","None","56-91","8"," 40.5","Burdette","McMahon","None","3:05","N","5,477","----","None",1962
"Tuesday, Sep 18","boxscore","HOU","@","NYM","W","6","2","None","57-91","8"," 38.5","Johnson","Jackson","None","2:18","N","None","+","1962-06-24 (Rain)",1962
"Tuesday, Sep 18","boxscore","HOU","@","NYM","W","8","6","None","58-91","8"," 38.5","Drott","Foss","Umbricht","3:10","N","3,670","++","None",1962
"Thursday, Sep 20","boxscore","HOU","@","NYM","W","7","2","None","59-91","8"," 38.0","Golden","Hook","Kemmerer","2:30","D","None","+++","None",1962
"Thursday, Sep 20","boxscore","HOU","@","NYM","W","5","4","12","60-91","8"," 38.0","Kemmerer","Daviault","None","3:29","D","1,481","++++","1962-06-24 (Rain)",1962
"Friday, Sep 21","boxscore","HOU","None","SFG","L","5","11","None","60-92","8"," 38.0","Perry","Brunet","Miller","3:02","N","12,180","-","None",1962
"Saturday, Sep 22","boxscore","HOU","None","SFG","W-wo","6","5","None","61-92","8"," 38.0","Umbricht","Miller","None","3:17","N","17,125","+","None",1962
"Sunday, Sep 23","boxscore","HOU","None","SFG","L","3","10","None","61-93","8"," 38.0","O'Dell","Bruce","None","2:37","D","9,623","-","None",1962
"Tuesday, Sep 25","boxscore","HOU","@","LAD","W","3","2","10","62-93","8"," 37.0","Farrell","Roebuck","None","3:03","N","25,036","+","None",1962
"Wednesday, Sep 26","boxscore","HOU","@","LAD","L","1","13","None","62-94","8"," 38.0","Podres","Brunet","Sherry","2:49","N","25,813","-","None",1962
"Thursday, Sep 27","boxscore","HOU","@","LAD","W","8","6","None","63-94","8"," 37.0","Umbricht","Perranoski","None","2:44","N","29,855","+","None",1962
"Saturday, Sep 29","boxscore","HOU","@","SFG","L","5","11","None","63-95","8"," 36.0","Sanford","Johnson","Miller","2:44","D","None","-","None",1962
"Saturday, Sep 29","boxscore","HOU","@","SFG","W","4","2","None","64-95","8"," 36.0","Bruce","Marichal","None","2:32","D","26,268","+","1962-09-28 (Rain)",1962
"Sunday, Sep 30","boxscore","HOU","@","SFG","L","1","2","None","64-96","8"," 36.0","Miller","Farrell","None","2:28","D","41,327","-","None",1962
"Wednesday, Apr 10","boxscore","HOU","None","SFG","L","7","8","None","0-2","7","2","Duffalo","McMahon","Bolin","3:08","N","12,469","--","None",1963
"Thursday, Apr 11","boxscore","HOU","None","SFG","L","1","7","None","0-3","9","3","O'Dell","Johnson","None","2:44","N","8,827","---","None",1963
"Friday, Apr 12","boxscore","HOU","None","LAD","W-wo","2","1","12","1-3","9","2.5","Farrell","Roebuck","None","3:09","N","12,044","+","None",1963
"Saturday, Apr 13","boxscore","HOU","None","LAD","L","1","3","None","1-4","9","3.5","Drysdale","Brunet","None","2:13","N","15,164","-","None",1963
"Sunday, Apr 14","boxscore","HOU","None","LAD","W","5","4","None","2-4","8","2.5","Nottebart","Koufax","McMahon","2:31","D","10,180","+","None",1963
"Tuesday, Apr 16","boxscore","HOU","@","SFG","L","0","7","None","2-5","9","3.5","Pierce","Bruce","None","2:30","D","40,782","-","None",1963
"Wednesday, Apr 17","boxscore","HOU","@","SFG","W","2","1","13","3-5","9","3","Johnson","Larsen","McMahon","3:21","N","10,190","+","None",1963
"Thursday, Apr 18","boxscore","HOU","@","SFG","L","3","6","None","3-6","9","4","Sanford","Brunet","None","2:20","D","6,462","-","None",1963
"Friday, Apr 19","boxscore","HOU","@","LAD","L","0","2","None","3-7","9","4.5","Koufax","Farrell","None","1:48","N","15,654","--","None",1963
"Saturday, Apr 20","boxscore","HOU","@","LAD","W","9","6","None","4-7","9","3.5","Nottebart","Podres","McMahon","2:44","D","17,110","+","None",1963
"Sunday, Apr 21","boxscore","HOU","@","LAD","L","3","11","None","4-8","10","4.5","Miller","Cardinal","Perranoski","3:02","D","None","-","None",1963
"Sunday, Apr 21","boxscore","HOU","@","LAD","L-wo","5","6","None","4-9","10","4.5","Roebuck","Brunet","None","2:54","D","33,196","--","None",1963
"Monday, Apr 22","boxscore","HOU","None","STL","L","2","5","None","4-10","10","4.5","Washburn","Johnson","None","2:33","N","10,047","---","None",1963
