"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Monday, Jun 18","None","STL","None","NYP","W",8,7,"None","21-11",2,"None","None","None","None","None",NA,"+++++++","None",1883,-1,1,159,128,31,21,10,11,0.67741935483871,NA
"Tuesday, Jun 19","None","STL","None","NYP","W",5,2,"None","22-11",1,"None","None","None","None","None",NA,"++++++++","None",1883,0,3,164,130,34,22,10,12,0.6875,NA
"Thursday, Jun 21","None","STL","None","NYP","L",1,2,"None","22-12",2,"None","None","None","None","None",NA,"-","1883-06-20 (Rain)",1883,-0.5,-1,165,132,33,22,11,11,0.666666666666667,NA
"Saturday, Jun 23","None","STL","None","BAL","W",9,0,"None","23-12",2,"None","None","None","None","None",NA,"+","None",1883,-0.5,9,174,132,42,23,11,12,0.676470588235294,NA
"Sunday, Jun 24","None","STL","None","BAL","W",6,2,"None","24-12",1,"None","None","None","None","None",NA,"++","None",1883,0,4,180,134,46,24,11,13,0.685714285714286,NA
"Monday, Jun 25","None","STL","None","BAL","W",4,2,"None","25-12",1,"None","None","None","None","None",NA,"+++","None",1883,0,2,184,136,48,25,11,14,0.694444444444444,NA
"Thursday, Jun 28","None","STL","None","PHA","L",1,3,"None","25-13",2,"None","None","None","None","None",NA,"-","None",1883,-1.5,-2,185,139,46,25,12,13,0.675675675675676,NA
"Saturday, Jun 30","None","STL","None","PHA","L",2,7,"None","25-14",2,"None","None","None","None","None",NA,"--","None",1883,-2.5,-5,187,146,41,25,13,12,0.657894736842105,NA
"Sunday, Jul 1","None","STL","None","PHA","W",9,8,"None","26-14",2,"None","None","None","None","None",NA,"+","None",1883,-1.5,1,196,154,42,26,13,13,0.666666666666667,NA
"Monday, Jul 2","None","STL","None","PHA","L",1,9,"None","26-15",3,"None","None","None","None","None",NA,"-","None",1883,-2.5,-8,197,163,34,26,14,12,0.65,NA
"Wednesday, Jul 4","None","STL","None","PIT","W",8,2,"None","27-15",2,"None","None","None","None","None",NA,"+","None",1883,-1.5,6,205,165,40,27,14,13,0.658536585365854,NA
"Wednesday, Jul 4","None","STL","None","PIT","W",3,2,"None","28-15",2,"None","None","None","None","None",NA,"++","None",1883,-1.5,1,208,167,41,28,14,14,0.666666666666667,NA
"Friday, Jul 6","None","STL","None","PIT","W",4,1,"None","29-15",2,"None","None","None","None","None",NA,"+++","None",1883,-1,3,212,168,44,29,14,15,0.674418604651163,NA
"Sunday, Jul 8","None","STL","None","PIT","W",5,2,"None","30-15",2,"None","None","None","None","None",NA,"++++","None",1883,-1,3,217,170,47,30,14,16,0.681818181818182,NA
"Wednesday, Jul 11","None","STL","None","COL","W",6,2,"None","31-15",2,"None","None","None","None","None",NA,"+++++","None",1883,-0.5,4,223,172,51,31,14,17,0.688888888888889,NA
"Thursday, Jul 12","None","STL","None","COL","W",9,4,"None","32-15",1,"None","None","None","None","None",NA,"++++++","None",1883,0.5,5,232,176,56,32,14,18,0.695652173913043,NA
"Friday, Jul 13","None","STL","None","COL","L",2,4,"None","32-16",2,"None","None","None","None","None",NA,"-","None",1883,-0.5,-2,234,180,54,32,15,17,0.680851063829787,NA
"Saturday, Jul 14","None","STL","None","COL","W",8,7,"None","33-16",2,"None","None","None","None","None",NA,"+","1883-07-10 (Unknown reason)",1883,-0.5,1,242,187,55,33,15,18,0.6875,NA
"Sunday, Jul 15","None","STL","None","CIN","L",1,4,"None","33-17",2,"None","None","None","None","None",NA,"-","None",1883,-1,-3,243,191,52,33,16,17,0.673469387755102,NA
"Tuesday, Jul 17","None","STL","None","CIN","W",5,4,"None","34-17",2,"None","None","None","None","None",NA,"+","None",1883,-1,1,248,195,53,34,16,18,0.68,NA
"Wednesday, Jul 18","None","STL","None","CIN","W",5,3,"None","35-17",2,"None","None","None","None","None",NA,"++","None",1883,-1,2,253,198,55,35,16,19,0.686274509803922,NA
"Thursday, Jul 19","None","STL","None","CIN","W",13,7,"None","36-17",1,"None","None","None","None","None",NA,"+++","None",1883,0,6,266,205,61,36,16,20,0.692307692307692,NA
"Saturday, Jul 21","None","STL","None","LOU","W",5,4,"None","37-17",1,"None","None","None","None","None",NA,"++++","None",1883,0,1,271,209,62,37,16,21,0.69811320754717,NA
"Sunday, Jul 22","None","STL","None","LOU","W",14,4,"None","38-17",1,"None","None","None","None","None",NA,"+++++","None",1883,0.5,10,285,213,72,38,16,22,0.703703703703704,NA
"Tuesday, Jul 24","None","STL","None","LOU","W",6,0,"None","39-17",1,"None","None","None","None","None",NA,"++++++","None",1883,1.5,6,291,213,78,39,16,23,0.709090909090909,NA
"Thursday, Jul 26","None","STL","None","LOU","L",4,5,"None","39-18",1,"None","None","None","None","None",NA,"-","None",1883,1,-1,295,218,77,39,17,22,0.696428571428571,NA
"Saturday, Jul 28","None","STL","@","LOU","W",8,4,"None","40-18",1,"None","None","None","None","None",NA,"+","None",1883,1,4,303,222,81,40,17,23,0.701754385964912,NA
"Sunday, Jul 29","None","STL","@","LOU","W",9,0,"None","41-18",1,"None","None","None","None","None",NA,"++","None",1883,1.5,9,312,222,90,41,17,24,0.706896551724138,NA
"Monday, Jul 30","None","STL","@","LOU","L",5,6,"None","41-19",1,"None","None","None","None","None",NA,"-","1883-08-01 (Unknown reason)",1883,0.5,-1,317,228,89,41,18,23,0.694915254237288,NA
"Tuesday, Jul 31","None","STL","@","LOU","L",6,7,"None","41-20",2,"None","None","None","None","None",NA,"--","None",1883,-0.5,-1,323,235,88,41,19,22,0.683333333333333,NA
"Friday, Aug 3","None","STL","@","CIN","L",3,4,"None","41-21",2,"None","None","None","None","None",NA,"---","None",1883,-2,-1,326,239,87,41,20,21,0.672131147540984,NA
"Saturday, Aug 4","None","STL","@","CIN","W",1,0,"None","42-21",2,"None","None","None","None","None",NA,"+","None",1883,-2,1,327,239,88,42,20,22,0.67741935483871,NA
"Monday, Aug 6","None","STL","@","CIN","L",2,5,"None","42-22",2,"None","None","None","None","None",NA,"-","None",1883,-2,-3,329,244,85,42,21,21,0.666666666666667,NA
"Tuesday, Aug 7","None","STL","@","CIN","L",3,6,"None","42-23",2,"None","None","None","None","None",NA,"--","None",1883,-3,-3,332,250,82,42,22,20,0.65625,NA
"Thursday, Aug 9","None","STL","@","COL","W",5,4,"None","43-23",2,"None","None","None","None","None",NA,"+","None",1883,-2,1,337,254,83,43,22,21,0.661538461538462,NA
