Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
144,Tuesday Sep 10,boxscore,STL,,MIL,W,4,2,,84-60,1,up 1.0,Miller,Peralta,,3:02,N,35050,++++,
145,Wednesday Sep 11,boxscore,STL,,MIL,W,5,1,,85-60,1,up 1.0,Rosenthal,Kintzler,,3:02,N,35134,+++++,
146,Thursday Sep 12,boxscore,STL,,MIL,L,3,5,,85-61,1,Tied,Thornburg,Kelly,Henderson,3:02,N,35208,-,
147,Friday Sep 13,boxscore,STL,,SEA,W-wo,2,1,10,86-61,1,up 1.0,Siegrist,Ruffin,,3:15,N,40506,+,
148,Saturday Sep 14,boxscore,STL,,SEA,L,1,4,,86-62,1,Tied,Paxton,Wacha,Farquhar,2:51,N,41374,-,
149,Sunday Sep 15,boxscore,STL,,SEA,W,12,2,,87-62,1,Tied,Miller,Ramirez,,3:09,D,40526,+,
150,Monday Sep 16,boxscore,STL,@,COL,L,2,6,,87-63,1,Tied,Bettis,Rosenthal,,2:51,N,31117,-,
151,Tuesday Sep 17,boxscore,STL,@,COL,W,11,4,,88-63,1,up 1.0,Kelly,Nicasio,,3:23,N,27107,+,
152,Wednesday Sep 18,boxscore,STL,@,COL,W,4,3,,89-63,1,up 2.0,Wainwright,Chatwood,Mujica,2:53,N,26955,++,
153,Thursday Sep 19,boxscore,STL,@,COL,L-wo,6,7,15,89-64,1,up 1.0,Scahill,Salas,,5:09,D,33258,-,
154,Friday Sep 20,boxscore,STL,@,MIL,W,7,6,10,90-64,1,up 2.0,Axford,Blazek,Martinez,3:56,N,37148,+,
155,Saturday Sep 21,boxscore,STL,@,MIL,W,7,2,,91-64,1,up 2.0,Lynn,Gallardo,,3:12,N,35008,++,
156,Sunday Sep 22,boxscore,STL,@,MIL,L,4,6,,91-65,1,up 2.0,Peralta,Kelly,Henderson,3:00,N,27389,-,
157,Monday Sep 23,boxscore,STL,,WSN,W,4,3,,92-65,1,up 2.0,Wainwright,Roark,Rosenthal,2:43,N,39783,+,
158,Tuesday Sep 24,boxscore,STL,,WSN,W,2,0,,93-65,1,up 2.0,Wacha,Gonzalez,Rosenthal,2:10,N,38940,++,
159,Wednesday Sep 25,boxscore,STL,,WSN,W,4,1,,94-65,1,up 3.0,Miller,Zimmermann,Rosenthal,2:28,D,40597,+++,
160,Friday Sep 27,boxscore,STL,,CHC,W,7,0,,95-65,1,up 3.0,Lynn,Wood,,2:54,N,44030,++++,
161,Saturday Sep 28,boxscore,STL,,CHC,W,6,2,,96-65,1,up 3.0,Wainwright,Jackson,Maness,3:00,D,42520,+++++,
162,Sunday Sep 29,boxscore,STL,,CHC,W,4,0,,97-65,1,up 3.0,Kelly,Samardzija,,2:34,D,44808,++++++,
