"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Friday, Aug 9","None","BOS","None","BLA","L",9,11,"None","50-37",2,"None","None","None","None","None",NA,"---","None",1901,-5.5,-2,522,414,108,50,36,0.581395348837209,NA
"Friday, Aug 9","None","BOS","None","BLA","W",6,2,"None","51-37",2,"None","None","None","None","None",NA,"+","1901-05-18 (Rain)",1901,-5.5,4,528,416,112,51,36,0.586206896551724,NA
"Saturday, Aug 10","None","BOS","None","BLA","W",6,4,"None","52-37",2,"None","None","None","None","None",NA,"++","None",1901,-5,2,534,420,114,52,36,0.590909090909091,NA
"Saturday, Aug 10","None","BOS","None","BLA","L",3,4,"None","52-38",2,"None","None","None","None","None",NA,"-","1901-05-20 (Rain)",1901,-5,-1,537,424,113,52,37,0.584269662921348,NA
"Monday, Aug 12","None","BOS","None","PHA","W",6,0,"None","53-38",2,"None","None","None","None","None",NA,"+","None",1901,-5,6,543,424,119,53,37,0.588888888888889,NA
"Monday, Aug 12","None","BOS","None","PHA","L",1,7,"None","53-39",2,"None","None","None","None","None",NA,"-","1901-05-10 (Rain)",1901,-5,-6,544,431,113,53,38,0.582417582417582,NA
"Tuesday, Aug 13","None","BOS","None","PHA","W",4,3,"None","54-39",2,"None","None","None","None","None",NA,"+","None",1901,-4.5,1,548,434,114,54,38,0.58695652173913,NA
"Wednesday, Aug 14","None","BOS","None","PHA","L",0,9,"None","54-40",2,"None","None","None","None","None",NA,"-","None",1901,-4.5,-9,548,443,105,54,39,0.580645161290323,NA
"Wednesday, Aug 14","None","BOS","None","PHA","W",4,2,"None","55-40",2,"None","None","None","None","None",NA,"+","1901-07-09 (Rain)",1901,-4.5,2,552,445,107,55,39,0.585106382978723,NA
"Friday, Aug 16","None","BOS","None","CHW","W",6,2,"None","56-40",2,"None","None","None","None","None",NA,"++","None",1901,-3.5,4,558,447,111,56,39,0.589473684210526,NA
"Saturday, Aug 17","None","BOS","None","CHW","W",4,2,"None","57-40",2,"None","None","None","None","None",NA,"+++","None",1901,-2.5,2,562,449,113,57,39,0.59375,NA
"Monday, Aug 19","None","BOS","None","MLA","W",6,5,"None","58-40",2,"None","None","None","None","None",NA,"++++","None",1901,-1.5,1,568,454,114,58,39,0.597938144329897,NA
"Tuesday, Aug 20","None","BOS","None","MLA","W",6,0,"None","59-40",2,"None","None","None","None","None",NA,"+++++","None",1901,-1.5,6,574,454,120,59,39,0.602040816326531,NA
"Wednesday, Aug 21","None","BOS","None","MLA","W",8,5,"None","60-40",2,"None","None","None","None","None",NA,"++++++","None",1901,-0.5,3,582,459,123,60,39,0.606060606060606,NA
"Thursday, Aug 22","None","BOS","None","CLE","W",4,3,"None","61-40",2,"None","None","None","None","None",NA,"+++++++","None",1901,-0.5,1,586,462,124,61,39,0.61,NA
"Friday, Aug 23","None","BOS","None","CLE","W",5,1,"None","62-40",2,"None","None","None","None","None",NA,"++++++++","None",1901,-0.5,4,591,463,128,62,39,0.613861386138614,NA
"Saturday, Aug 24","None","BOS","None","CLE","L",2,4,"None","62-41",2,"None","None","None","None","None",NA,"-","None",1901,-0.5,-2,593,467,126,62,40,0.607843137254902,NA
"Monday, Aug 26","None","BOS","None","DET","L",3,6,"None","62-42",2,"None","None","None","None","None",NA,"--","None",1901,-1.5,-3,596,473,123,62,41,0.601941747572815,NA
"Tuesday, Aug 27","None","BOS","None","DET","W",2,1,"None","63-42",2,"None","None","None","None","None",NA,"+","None",1901,-0.5,1,598,474,124,63,41,0.605769230769231,NA
"Wednesday, Aug 28","None","BOS","None","DET","L",2,4,"None","63-43",2,"None","None","None","None","None",NA,"-","None",1901,-1.5,-2,600,478,122,63,42,0.6,NA
"Thursday, Aug 29","None","BOS","@","DET","L",3,5,"None","63-44",2,"None","None","None","None","None",NA,"--","None",1901,-2,-2,603,483,120,63,43,0.594339622641509,NA
"Friday, Aug 30","None","BOS","@","DET","W",5,4,"None","64-44",2,"None","None","None","None","None",NA,"+","None",1901,-1.5,1,608,487,121,64,43,0.598130841121495,NA
"Saturday, Aug 31","None","BOS","@","DET","L",5,6,"None","64-45",2,"None","None","None","None","None",NA,"-","None",1901,-3,-1,613,493,120,64,44,0.592592592592593,NA
"Saturday, Aug 31","None","BOS","@","DET","T",4,4,"None","64-45",2,"None","None","None","None","None",NA,"-","1901-05-21 (Wet grounds)",1901,-3,0,617,497,120,65,45,0.590909090909091,NA
"Monday, Sep 2","None","BOS","@","CLE","W",9,4,"None","65-45",2,"None","None","None","None","None",NA,"+","None",1901,-2.5,5,626,501,125,66,45,0.594594594594595,NA
"Monday, Sep 2","None","BOS","@","CLE","W",4,1,"None","66-45",2,"None","None","None","None","None",NA,"++","None",1901,-2.5,3,630,502,128,67,45,0.598214285714286,NA
"Tuesday, Sep 3","None","BOS","@","CLE","L",0,1,"None","66-46",2,"None","None","None","None","None",NA,"-","None",1901,-3,-1,630,503,127,67,46,0.592920353982301,NA
"Tuesday, Sep 3","None","BOS","@","CLE","L",0,4,"None","66-47",2,"None","None","None","None","None",NA,"--","1901-05-29 (Rain)",1901,-3,-4,630,507,123,67,47,0.587719298245614,NA
"Wednesday, Sep 4","None","BOS","@","MLA","L",4,6,"None","66-48",2,"None","None","None","None","None",NA,"---","None",1901,-4,-2,634,513,121,67,48,0.582608695652174,NA
"Thursday, Sep 5","None","BOS","@","MLA","W",4,2,"None","67-48",2,"None","None","None","None","None",NA,"+","None",1901,-3.5,2,638,515,123,68,48,0.586206896551724,NA
"Saturday, Sep 7","None","BOS","@","CHW","L",1,4,"None","67-49",2,"None","None","None","None","None",NA,"-","None",1901,-4,-3,639,519,120,68,49,0.581196581196581,NA
"Sunday, Sep 8","None","BOS","@","CHW","L",3,4,"None","67-50",2,"None","None","None","None","None",NA,"--","None",1901,-5,-1,642,523,119,68,50,0.576271186440678,NA
"Monday, Sep 9","None","BOS","@","CHW","L",3,4,"None","67-51",2,"None","None","None","None","None",NA,"---","None",1901,-7,-1,645,527,118,68,51,0.571428571428571,NA
"Monday, Sep 9","None","BOS","@","CHW","L",4,6,"None","67-52",2,"None","None","None","None","None",NA,"----","1901-07-28 (Rain)",1901,-7,-2,649,533,116,68,52,0.566666666666667,NA
"Wednesday, Sep 11","None","BOS","@","WSH","W",9,0,"None","68-52",2,"None","None","None","None","None",NA,"+","None",1901,-7,9,658,533,125,69,52,0.570247933884298,NA
"Thursday, Sep 12","None","BOS","@","WSH","T",6,6,"None","68-52",2,"None","None","None","None","None",NA,"+","None",1901,-7,0,664,539,125,70,53,0.569105691056911,NA
"Friday, Sep 13","None","BOS","@","WSH","W",5,1,"None","69-52",2,"None","None","None","None","None",NA,"++","None",1901,-6.5,4,669,540,129,71,53,0.57258064516129,NA
"Friday, Sep 13","None","BOS","@","WSH","L",3,5,"None","69-53",2,"None","None","None","None","None",NA,"-","None",1901,-6.5,-2,672,545,127,71,54,0.568,NA
"Saturday, Sep 14","None","BOS","None","WSH","W",12,1,"None","70-53",2,"None","None","None","None","None",NA,"+","None",1901,-6,11,684,546,138,72,54,0.571428571428571,NA
"Monday, Sep 16","None","BOS","None","WSH","W",6,5,"None","71-53",2,"None","None","None","None","None",NA,"++","None",1901,-7,1,690,551,139,73,54,0.574803149606299,NA
"Monday, Sep 16","None","BOS","None","WSH","L",5,7,"None","71-54",2,"None","None","None","None","None",NA,"-","1901-09-14 (Train delay (Both teams))",1901,-7,-2,695,558,137,73,55,0.5703125,NA
"Tuesday, Sep 17","None","BOS","None","CLE","W",5,0,"None","72-54",2,"None","None","None","None","None",NA,"+","None",1901,-6.5,5,700,558,142,74,55,0.573643410852713,NA
"Friday, Sep 20","None","BOS","None","DET","W",5,2,"None","73-54",2,"None","None","None","None","None",NA,"++","None",1901,-7.5,3,705,560,145,75,55,0.576923076923077,NA
"Saturday, Sep 21","None","BOS","None","DET","L",1,3,"None","73-55",2,"None","None","None","None","None",NA,"-","None",1901,-7.5,-2,706,563,143,75,56,0.572519083969466,NA
"Monday, Sep 23","None","BOS","None","DET","L",4,5,"None","73-56",2,"None","None","None","None","None",NA,"--","None",1901,-8,-1,710,568,142,75,57,0.568181818181818,NA
"Monday, Sep 23","None","BOS","None","DET","L",2,9,"None","73-57",2,"None","None","None","None","None",NA,"---","None",1901,-8,-7,712,577,135,75,58,0.56390977443609,NA
"Tuesday, Sep 24","None","BOS","None","CHW","W",8,3,"None","74-57",2,"None","None","None","None","None",NA,"+","None",1901,-7,5,720,580,140,76,58,0.567164179104478,NA
"Wednesday, Sep 25","None","BOS","None","CHW","W",5,2,"None","75-57",2,"None","None","None","None","None",NA,"++","None",1901,-6,3,725,582,143,77,58,0.57037037037037,NA
"Thursday, Sep 26","None","BOS","None","CHW","W",3,2,"None","76-57",2,"None","None","None","None","None",NA,"+++","None",1901,-5,1,728,584,144,78,58,0.573529411764706,NA
